20260630                                                                        _____________________________________________________
1EQCNV              30/06/26                             0.00                                                                        
+EXP-FEE            30/06/26                     5,803,265.03                                                                        
+EXP-FEEA           30/06/26                     5,733,549.30                                                                        
+EXP-FEEB           30/06/26                        69,715.73                                                                        
+EXP-INT            30/06/26                    35,174,426.63                                                                        
+EXP-OEXPADM        30/06/26                     5,214,950.36                                                                        
+EXP-OEXPADM1       30/06/26                     5,209,952.36                                                                        
+EXP-OEXPADM2       30/06/26                         4,998.00                                                                        
+EXP-OEXPEST        30/06/26                     3,481,585.20                                                                        
+EXP-OEXPMK         30/06/26                        46,511.68                                                                        
+EXP-OEXPSC         30/06/26                    24,548,245.83                                                                        
+FINPO M_01         30/06/26                       724,287.82                                                                        
+FKCOA              30/06/26                             0.00                                                                        
+FWD PUR ASS        30/06/26                             0.00                                                                        
+INTPLAC(BNM)       30/06/26                             0.00                                                                        
+INTPLC(INTB)       30/06/26                             0.00                                                                        
+LCR-CAB            30/06/26                         1,000.00                                                                        
+LCR-CLIENT         30/06/26                     6,707,224.97                                                                        
+LCR-FIOPSDEP       30/06/26                    12,173,950.44                                                                        
+LCR-FI30DAYS       30/06/26                     5,155,821.83                                                                        
+LCR-NONOPSDP       30/06/26                             0.00                                                                        
+LCR-ONPLCCB        30/06/26                    21,136,707.02                                                                        
+LCR-OTH            30/06/26                     4,935,223.63-                                                                       
+OBS00100100        30/06/26                     5,700,000.00                                                                        
+OBS00300110        30/06/26                   250,737,245.49                                                                        
+OBS00500100        30/06/26                   237,234,864.21                                                                        
+OBS00500200        30/06/26                             0.00                                                                        
+OBS02100050        30/06/26                             0.00                                                                        
+OBS02200050        30/06/26                             0.00                                                                        
+OBS03000050        30/06/26                             0.00                                                                        
+OBS12200050        30/06/26                             0.00                                                                        
+P-ALL              30/06/26                             0.00                                                                        
+P-B&C BRCOM        30/06/26                             0.00                                                                        
+P-B&C CD           30/06/26                    13,954,930.65-                                                                       
+P-B&C EBROK        30/06/26                    24,291,551.02-                                                                       
+P-B&C PMB          30/06/26                    12,883,494.35-                                                                       
+P-B&C REM          30/06/26                     3,942,910.50-                                                                       
+P-B&CREBATE        30/06/26                             0.00                                                                        
+P-BS CD            30/06/26                       375,433.94                                                                        
+P-BS REM           30/06/26                     1,991,466.87                                                                        
+P-BS REMPROV       30/06/26                       428,085.66                                                                        
